place,frequency,lat,lon
メッカ,7,21.420847,39.826869
メソポタミア,1,34.9019732,42.0596465948082
せみ,3,39.382187,42.7163847
ハノーバー,1,39.7999157,43.2790922
ブラ,30,14.89727245,43.4665603348457
ボル,3,56.3598289,44.0542641
ヴォルガ,2,56.1670244,44.2150569
コモ,5,-12.2045176,44.2832964
アライ,3,40.4560332,44.3744756
ハルジ,1,15.040592,44.422304
アルメニア,12,40.7696272,44.6736646
アルメニヤ,1,40.7696272,44.6736646
ペン,23,53.1655415,44.7879181
アデン,14,12.833333,44.916667
シイン,3,3.7135003,45.6562181
サラトフ,1,51.530018,46.034683
イリ,5,38.5049169,46.1931357
タホ,1,42.5495565,46.3420588
マダガスカル,8,-18.9249604,46.4416422
テーベ,2,43.050411,47.293709
マール,1,33.9854731,48.8459926
カザン,3,55.7823547,49.1242266
アラビア,79,22.3743008,49.4771176515971
カスピ,12,41.7789772,50.5607579057943
こま,45,34.6422939,50.8801184
くま,5,34.7191915,51.0122844
ペルシア,64,27.2380913,51.19723479886
カタール,3,25.3336984,51.2295295
かさ,7,33.9876533,51.4428856
ソコトラ,2,12.5,53.833333
イラン,133,32.6475314,54.5643516
ドバイ,1,25.2653471,55.2924914
ウラル,5,54.394493,56.240589
ウースター,2,19.679297,56.5911339832251
オマン,3,21.0000287,57.0036901
ムー,8,-20.2759451,57.5703566
モーリシャス,1,-20.2759451,57.5703566
バム,1,29.1059864,58.3565663
ヘラート,1,34.3508273,62.2164003
ウル,32,32.8129681,66.0183185
アフガニスタン,10,33.7680065,66.2385139
サマルカンド,8,39.6634028,66.9441609842757
パミール,2,38.5637592,68.7848036
シンド,2,25.5,69
カブール,2,34.5260109,69.1776838
マカダ,1,23.1065758,69.2459678
ヤポン,1,41.340248,69.2822849582109
ちか,1,37.070446,69.298421
チェッコ,1,40.4636448,70.7105506
パプ,1,40.8743693,71.0970171
ルソン,12,37.9457923,71.5591114
セエヌ,50,-0.6263536,73.1791074705682
オムスク,8,54.991375,73.371529
ネス,5,21.3046024,73.9722539
ゴア,3,15.3004543,74.0855134
ムルデ,4,16.0978249,74.2168093
ラホール,1,31.5656822,74.3141829
キルギス,3,41.5089324,74.724091
イタリヤ,47,25.8594939,74.8190617
シリヤ,2,12.6693903,75.0856619
パンジャブ,7,30.9293211,75.5004841
ケル,77,42.9233925,75.5107135
かゞ,234,14.5203896,75.7223521
カシュガル,2,39.4702981,75.9874816
シッカ,1,32.7768653,76.1174011
ロシヤ,69,21.9582944,76.1547506
ろしや,3,21.9582944,76.1547506
ラール,2,32.7123263,76.2683558
ババリヤ,1,27.7777341,76.3900423
デリー,12,28.6517178,77.2219388
ヤルカンド,1,38.4170434,77.2411446
ジャヌー,1,27.5694035,77.353363
サンチ,1,23.487047,77.740622
カルル,2,10.9596041,78.0807797
クルック,5,9.9133978,78.1240414
インド,1832,22.3511148,78.6677428
チャンパ,1,20.9772485,79.1975212
マトラ,1,21.17566645,79.7200958072619
コロンボ,2,6.9387469,79.8541134
ダーリントン,1,6.5625701,79.9755114
カプリ,7,24.4634781,80.4326209
セイロン,12,7.5554942,80.7137847
バベル,11,25.55083605,80.7777566145783
トウ,9,16.5986677,80.8905362
とう,1,16.5986677,80.8905362
カナリヤ,2,28.0099487,82.4004704
コーリヤ,1,23.47684935,82.4776825953947
クチャ,1,41.7116961,82.9583247
スバシ,1,41.8550618,83.0463208847357
ポカラ,5,28.209538,83.991402
ネパール,245,28.1083929,84.0917139
ガンジス,12,25.7240512,84.1137187
ゴルカ,1,28.2708368,84.8407583095628
ブッダガヤ,2,24.6962612,84.9937642
ガヤ,11,24.7964355,85.0079563
ガルダ,5,26.94965225,85.3108169015003
カトマンズ,17,27.708317,85.3205817
エベレスト,1,27.9882393,86.925017
ダージリン,136,27.0377554,88.263176
シッキム,29,27.601029,88.4541363868015
ヘーグ,2,27.4324057,88.9253542
フルカ,2,27.4066426,88.957597
Asia,1,51.2086975,89.2343748
クルナ,1,22.9372087,89.2852741
プンツォリン,1,26.8639605,89.3837363
アルタイ,4,48.3035739,89.5145424
やせ,1,29.115477,90.355284
ブータン,28,27.549511,90.5119273
チベット,1494,29.6472,91.1174
アムド,4,32.2676152,91.6810713
セーヌ,2,27.568186,91.8640359
ニコバル,1,12.61123865,92.8316540641493
アンダマン,3,10.0001051,93.0000194
アッサム,2,26.4073841,93.2551303
シベリア,21,65.2729258,95.4899031853004
ココス,1,-12.0728315,96.8409375
カチン,8,26.0207656,97.4919258
ラサ,378,64.6863136,97.7453061
ロシア,1056,64.6863136,97.7453061
ペナン,12,5.4065013,100.2559077
テームス,9,5.6039564,100.4675861
タイ,29,14.8971921,100.83273
タウ,7,30.9248944,101.1574419
タイス,1,-4.0776482,102.5772044
ジョホール,3,2.0228821,103.3114564
べるが,1,-2.7569671,103.5741612
シンガポール,31,1.357107,103.8194992
メルシン,1,2.4298532,103.835494
サパ,2,22.3359668,103.8426575
モンゴリア,2,46.8250388,103.8499736
カンポット,1,10.6314754,104.132637
パレンバン,1,-2.9888297,104.756857
バイカル,1,51.870476,104.808372
カンボジア,5,12.5433216,104.8144914
オッペ,2,11.5972868,104.9071746
プノンペン,1,11.568271,104.9224426
チャイナ,2,35.000074,104.999927
タイフ,1,28.9807414,105.6388766
ヴィーン,2,18.6692445,105.6881594
ハノイ,1,21.0294498,105.8544441
サイゴン,3,10.7764772,106.701938
ゴビ,6,43,107
バンバ,4,24.5023,107.283
フエ,9,16.4639321,107.5863388
なで,6,21.8747273,108.1756648
ラナイ,2,3.93829,108.380066
ペイジ,3,26.4875,108.787
ジャワ,12,-7.3279694,109.613910988013
シャム,18,25.07,109.756
カンポ,2,21.19207,110.38981
スラバヤ,2,-7.2459717,112.7378266
チタ,2,52.033409,113.500893
ふわ,1,31.738989,114.6153126
ボルネオ,41,1.4297828,114.741041303837
クタ,3,-8.7278354,115.1730049
ラブアン,3,5.3168336,115.2198613
バンベリー,1,-33.3267797,115.636698
ペキン,18,39.906217,116.3912757
ネルチンスク,1,51.97694,116.588341
サバ,8,5.4257359,117.0326392
マヤ,2,30.6393699,117.6110344
サンダカン,7,5.8391274,118.1158598
ナンキン,1,32.0615513,118.7915619
カンボジャ,1,-4.1814426,119.8870014
アンナン,3,23.0471255,120.1848292
バタン,3,14.6436031,120.4657622
シャンハイ,11,21.986111,120.713333
オロス,2,63.500252,120.749794
マニラ,18,14.5948914,120.9782618
ホロ,9,6.0536561,121.0002644
フィリピン,2,12.7503486,122.7312101
セッテ,1,64.90446865,124.695768711735
ミンダナオ,1,7.68977865,125.23653125002
うど,117,37.6089291,125.975415626941
